Company/Brand,HeadQuarter,Sector,Amount($),Funding Year
EM3 Agri,Uttar Pradesh,Information Technology (IT),1000000,2020
Plum,Maharashtra,Fashion and Beauty,115000,2020
Odwen,Uttar Pradesh,E-Commerce and Retail,54000,2020
Fasal,Karnataka,Information Technology (IT),20000,2020
Trukky,Gujarat,Transportation and Tourism,0,2020
BankBazaar,Tamil Nadu,Banking and Financial Services,9000000,2020
Specsmakers,Tamil Nadu,Fashion and Beauty,3000000,2020
Grinntech,Uttarakhand,Manufacturing,2000000,2020
CreditMantri,Tamil Nadu,Banking and Financial Services,803146,2020
Chai Waale,Tamil Nadu,Agriculture and Food Production,238000,2020
Deepsync,Karnataka,Information Technology (IT),300000,2020
ConnectedH,Haryana,Healthcare and Fitness,0,2020
Reliance Retail,Maharashtra,E-Commerce and Retail,10220000,2020
QShala,Karnataka,Education,300000,2020
Pitstop,Karnataka,Transportation and Tourism,1020000,2020
Zomato,Haryana,Agriculture and Food Production,100000000,2020
Customfit ai,Karnataka,Information Technology (IT),0,2020
Nirmata,California,Information Technology (IT),0,2020
Hire Me Car,Uttar Pradesh,Transportation and Tourism,0,2020
Oga Fit,Karnataka,Healthcare and Fitness,0,2020
ShipsKart,Delhi,E-Commerce and Retail,200000,2020
SquadStack,California,Information Technology (IT),5000000,2020
Financepeer,Maharashtra,Education,3000000,2020
Cashify,Haryana,E-Commerce and Retail,10000000,2020
Etrio,Telangana,Manufacturing,3000000,2020
Codeyoung,Karnataka,Education,0,2020
StayQrious,Karnataka,Education,2000000,2020
Sunstone Eduversity,Haryana,Education,3000000,2020
Infilect,Karnataka,Information Technology (IT),1500000,2020
MobiGarage,Delhi,E-Commerce and Retail,0,2020
Samunnati,Tamil Nadu,Agriculture and Food Production,20000000,2020
WeInnovate Biosolutions,Maharashtra,Healthcare and Fitness,0,2020
Yummy Corp,Tangerang,Agriculture and Food Production,12000000,2020
Smallcase,Karnataka,Banking and Financial Services,13400000,2020
Clairvolex,California,Information Technology (IT),2000000,2020
Assiduus,Karnataka,E-Commerce and Retail,1000000,2020
Brinton,California,Healthcare and Fitness,1300000,2020
AFK Gaming,Maharashtra,Media and Entertainment,200000,2020
Infarm,Berlin,Information Technology (IT),170000000,2020
Zuper,Seattle,Information Technology (IT),1100000,2020
mCaffeine,Maharashtra,Healthcare and Fitness,2900000,2020
Origa,Maharashtra,Banking and Financial Services,2000000,2020
GullyBuy Software,Maharashtra,Information Technology (IT),543000,2020
Recordent,Telangana,Banking and Financial Services,0,2020
MPL,Karnataka,Media and Entertainment,90000000,2020
Penny,Riyadh,Information Technology (IT),1300000,2020
Onsitego,Maharashtra,"Career, Special Duties and Personal Development",30000000,2020
Precily,California,Information Technology (IT),0,2020
SmartClean,Singapore,Information Technology (IT),3400000,2020
ClanConnect,Delhi,E-Commerce and Retail,600000,2020
Servify,Maharashtra,"Career, Special Duties and Personal Development",23000000,2020
ShareChat,Karnataka,Media and Entertainment,40000000,2020
Rephrase.ai,Karnataka,Information Technology (IT),1500000,2020
Melorra,Karnataka,Fashion and Beauty,8090000,2020
FabHotels,Haryana,Events and Hospitality,1030000,2020
EkAnek,Delhi,Information Technology (IT),5040000,2020
Cub McPaws,Maharashtra,Information Technology (IT),800000,2020
Zimyo,Haryana,"Career, Special Duties and Personal Development",1500000,2020
PumPumPum,Haryana,Manufacturing,360000,2020
Burgerama,Haryana,Agriculture and Food Production,0,2020
Moms Co,Haryana,Healthcare and Fitness,8000000,2020
DillyHub,Seoul,Information Technology (IT),1400000,2020
FPL Technologies,Maharashtra,Banking and Financial Services,10000000,2020
FITTR,Maharashtra,Healthcare and Fitness,2000000,2020
Illumnus,Maharashtra,Education,100000,2020
CashKaro,Haryana,E-Commerce and Retail,10000000,2020
Newton School,Karnataka,Education,650000,2020
Airmeet,Karnataka,Information Technology (IT),12000000,2020
Observe ai,California,Information Technology (IT),54000000,2020
InCred,Maharashtra,Banking and Financial Services,5000000,2020
Toppr,Maharashtra,Education,35000000,2020
CarTrade,Maharashtra,E-Commerce and Retail,42500000,2020
LEAD School,Maharashtra,Education,28000000,2020
Servify,Maharashtra,Manufacturing,11370000,2020
Lido Learning,Maharashtra,Education,7500000,2020
Apna.co,Karnataka,Information Technology (IT),8000000,2020
Quintype Technologies,Karnataka,Information Technology (IT),325000,2020
Dunzo,Karnataka,Information Technology (IT),28000000,2020
Entropik,Karnataka,Information Technology (IT),8000000,2020
Livspace,Karnataka,"Career, Special Duties and Personal Development",9000000,2020
Ultraviolette Automotive,Karnataka,Manufacturing,410000,2020
WinZO,Delhi,Media and Entertainment,18000000,2020
SenseHawk,Karnataka,Energy,5000000,2020
Railofy,Maharashtra,Transportation and Tourism,900000,2020
Eloelo,Karnataka,E-Commerce and Retail,450000,2020
Aibono,Karnataka,Information Technology (IT),2000000,2020
BuildPan,Madhya Pradesh,Information Technology (IT),500000,2020
Homelane,Karnataka,"Career, Special Duties and Personal Development",8000000,2020
MyGlamm,Maharashtra,Fashion and Beauty,1000000,2020
Aviom,Delhi,Banking and Financial Services,682000,2020
Flinto,Tamil Nadu,Education,7000000,2020
WayCool,Tamil Nadu,Information Technology (IT),5060000,2020
YAP,Tamil Nadu,Information Technology (IT),4050000,2020
Big Bang Boom Solutions,Tamil Nadu,Information Technology (IT),1050000,2020
GUVI,Tamil Nadu,Education,800000,2020
BluSmart,Haryana,Manufacturing,7000000,2020
Cell Propulsion,Karnataka,Manufacturing,0,2020
MPL,Karnataka,Media and Entertainment,50000000,2020
Spoonshot,Karnataka,Manufacturing,1000000,2020
Pulse,Maharashtra,Banking and Financial Services,750000,2020
Groww,Karnataka,Banking and Financial Services,30000000,2020
i3 Systems,Maharashtra,Banking and Financial Services,1050000,2020
SOAL,Maharashtra,Education,1000000,2020
OckyPocky,Haryana,Education,400000,2020
Hippo Video,New York,Media and Entertainment,4000000,2020
Hasura,California,Information Technology (IT),25000000,2020
Qapita,Singapore,Banking and Financial Services,1080000,2020
Sunday,Bangkok,Banking and Financial Services,9000000,2020
Gamezop,Haryana,Media and Entertainment,4300000,2020
Phool.co,Uttar Pradesh,Manufacturing,1400000,2020
Chiratae Ventures,Karnataka,Banking and Financial Services,0,2020
MedLife,Karnataka,Healthcare and Fitness,6800000,2020
IDfy,Maharashtra,Information Technology (IT),2110000,2020
True Balance,Haryana,Banking and Financial Services,11943500,2020
Bira91,Delhi,Cultural Heritage,764000,2020
Max wholesale,Delhi,E-Commerce and Retail,603000,2020
Craftsvilla,Maharashtra,E-Commerce and Retail,409000,2020
MechMocha,Karnataka,Media and Entertainment,292000,2020
Mindhouse,Haryana,Healthcare and Fitness,286000,2020
DeepSync,Chandigarh,Information Technology (IT),136000,2020
Eruditus,Maharashtra,Education,825000000,2020
Gradeup,Uttar Pradesh,Education,546000,2020
Tracxn,Karnataka,Banking and Financial Services,887000,2020
Purple Style Labs,Maharashtra,Fashion and Beauty,43000,2020
ProPhysio,Karnataka,Healthcare and Fitness,40900,2020
Flickstree,Maharashtra,Information Technology (IT),40900,2020
Settl,Haryana,Transportation and Tourism,0,2020
Fanspole,Maharashtra,Media and Entertainment,0,2020
Sarva,Maharashtra,Healthcare and Fitness,0,2020
Univ.ai,Karnataka,Education,0,2020
PurohitJi,Karnataka,"Career, Special Duties and Personal Development",0,2020
CredoLab,Singapore,Information Technology (IT),7000000,2020
Brick&Bolt,Karnataka,Construction,2200000,2020
Grinntech,Tamil Nadu,Manufacturing,2000000,2020
6Degree,Maharashtra,Fashion and Beauty,340000,2020
Exprs,N/A,Multinational Conglomerate Company,5660000,2020
Bikayi,Telangana,E-Commerce and Retail,2000000,2020
Virtual Forest,Karnataka,Information Technology (IT),0,2020
The Health company,Haryana,Information Technology (IT),350000,2020
TrulyMadly Matchmakers,Haryana,Media and Entertainment,110000,2020
TrueFan,Maharashtra,Media and Entertainment,4300000,2020
Fanspole,Maharashtra,Media and Entertainment,0,2020
Byju's,Karnataka,Education,122000000,2020
Avail Finance,Karnataka,Banking and Financial Services,11635000,2020
The Money Club,Delhi,Information Technology (IT),0,2020
Virohan,Haryana,Healthcare and Fitness,2800000,2020
OneCode,Haryana,E-Commerce and Retail,0,2020
Verloop.io,N/A,Information Technology (IT),5000000,2020
Otipy,N/A,Information Technology (IT),1000000,2020
Evage,Chandigarh,Transportation and Tourism,0,2020
LEAD School,Maharashtra,Education,28000000,2020
Trell,Karnataka,E-Commerce and Retail,11000000,2020
Captain Fresh,Karnataka,Agriculture and Food Production,2300000,2020
Teachmint,Karnataka,Education,0,2020
Pixxel,Karnataka,Information Technology (IT),5000000,2020
Habbit Health,Delhi,Agriculture and Food Production,0,2020
SmarterBiz,Karnataka,Information Technology (IT),1065000,2020
Able Jobs,Karnataka,"Career, Special Duties and Personal Development",2000000,2020
Vieroots,Kerala,Healthcare and Fitness,0,2020
Stack Finance,Karnataka,Banking and Financial Services,0,2020
FPL Technologies,Maharashtra,Banking and Financial Services,10000000,2020
Masai School,Karnataka,Education,2500000,2020
Mitron,Karnataka,Media and Entertainment,5000000,2020
Daalchini,N/A,Information Technology (IT),669000,2020
Suno India,N/A,Media and Entertainment,0,2020
LendingKart,Gujarat,Banking and Financial Services,16076000,2020
Text Mercato,Karnataka,N/A,649600,2020
Eden Smart Homes,N/A,Information Technology (IT),0,2020
GrayQuest,Maharashtra,Education,1000000,2020
BigHaat,Karnataka,Information Technology (IT),2000000,2020
CityCash,Maharashtra,Banking and Financial Services,1000000,2020
HomeLane,Tamil Nadu,"Career, Special Duties and Personal Development",1000000,2020
HungerBox,Karnataka,Agriculture and Food Production,6700000,2020
DaveAI,Karnataka,Information Technology (IT),0,2020
Eduvanz,Maharashtra,Banking and Financial Services,5000000,2020
ZipLoan,Delhi,Banking and Financial Services,2000000,2020
DocSumo,Maharashtra,Information Technology (IT),220000,2020
CUSMAT,Telangana,Information Technology (IT),0,2020
Chingari,Karnataka,Media and Entertainment,1300000,2020
Bolo Indya,Haryana,Media and Entertainment,300000,2020
Data Sutram,West Bengal,Information Technology (IT),266500,2020
Wobot Intelligence,Delhi,Information Technology (IT),2500000,2020
DrinkPrime,Karnataka,Information Technology (IT),2879000,2020
Infeedo,Haryana,"Career, Special Duties and Personal Development",700000,2020
Probus Smart Things,Delhi,Information Technology (IT),0,2020
CrowdPouch,Karnataka,Information Technology (IT),0,2020
Rebel Foods,Maharashtra,Agriculture and Food Production,26500000,2020
Hevo,Karnataka,Information Technology (IT),8000000,2020
BigSpoon Foods,Gujarat,Agriculture and Food Production,2000000,2020
Chingari,Karnataka,Media and Entertainment,1000000,2020
ShareChat,Karnataka,Media and Entertainment,351000,2020
DatStop,Delhi,Events and Hospitality,0,2020
IPHM Services,Maharashtra,Healthcare and Fitness,0,2020
Wellcure,Haryana,Healthcare and Fitness,200000,2020
VilCart,Karnataka,E-Commerce and Retail,0,2020
Firescore,Maharashtra,Media and Entertainment,500000,2020
BulBul,Haryana,E-Commerce and Retail,8700000,2020
Toppr,Maharashtra,Education,46761000,2020
Pickright Technologies,Karnataka,Banking and Financial Services,175000,2020
Muse Wearables,Tamil Nadu,Information Technology (IT),3000000,2020
SATYA Microcapital,Delhi,Banking and Financial Services,9600000,2020
WYN Studio,Haryana,Media and Entertainment,0,2020
Fourth Partner Energy,Karnataka,Energy,15000000,2020
Entri,Kerala,Education,1700000,2020
Snack Amor,Maharashtra,Agriculture and Food Production,0,2020
MPowered,Haryana,Information Technology (IT),21000000,2020
Leap Club,Haryana,E-Commerce and Retail,0,2020
Ather Energy,Karnataka,Manufacturing,11241000,2020
Gigforce,Karnataka,"Career, Special Duties and Personal Development",804000,2020
Vegrow,Karnataka,Information Technology (IT),2500000,2020
Finn,Karnataka,Banking and Financial Services,0,2020
Bijnis,N/A,E-Commerce and Retail,10000000,2020
iNurture,Karnataka,Education,1340000,2020
StyleDotMe,Haryana,Fashion and Beauty,467000,2020
Ripsey,Maharashtra,Agriculture and Food Production,133000,2020
ThriveFNC,Maharashtra,Healthcare and Fitness,0,2020
Vedantu,Karnataka,Education,100000000,2020
Magicpin,Haryana,N/A,7000000,2020
Procol,Delhi,Information Technology (IT),3823000,2020
Yumlane,Maharashtra,Information Technology (IT),1000000,2020
Crio,Karnataka,Education,934000,2020
Openapp,Karnataka,Information Technology (IT),500000,2020
PumPumPum,Haryana,Information Technology (IT),293000,2020
uFony Services Pvt ltd,Maharashtra,Education,0,2020
Protinus Fashion Networking Pvt Ltd,Maharashtra,Fashion and Beauty,0,2020
Uable,Karnataka,Education,0,2020
ParkSmart,Delhi,Information Technology (IT),198000,2020
Plum,Karnataka,Healthcare and Fitness,927000,2020
IncNut Digital,Telangana,E-Commerce and Retail,4000000,2020
GigIndia,Maharashtra,Information Technology (IT),971000,2020
Specsmaker,Tamil Nadu,Fashion and Beauty,3060000,2020
Piggy Ride,Karnataka,Information Technology (IT),1862000,2020
Chai Waale,Tamil Nadu,Agriculture and Food Production,232000,2020
NOTO,Maharashtra,Agriculture and Food Production,0,2020
Cuemath,Karnataka,Education,2888000,2020
Cars24,Haryana,Manufacturing,1328000,2020
JetSynthesys,Maharashtra,Media and Entertainment,40000000,2020
Earth Energy EV,Maharashtra,Manufacturing,0,2020
Green Cure,Delhi,Healthcare and Fitness,0,2020
Blue Sky Analytics,Haryana,Information Technology (IT),1200000,2020
Edhusk,Rajasthan,Education,0,2020
Decentro,Karnataka,Banking and Financial Services,15500000,2020
Zolostays,Karnataka,"Career, Special Duties and Personal Development",56000000,2020
Frontier Markets,Rajasthan,E-Commerce and Retail,2250000,2020
Brainwired,Kerala,Information Technology (IT),0,2020
Aye Finance,Haryana,Banking and Financial Services,16753000,2020
Paper Boat,Haryana,Agriculture and Food Production,3700000,2020
Ken42,Karnataka,Education,1470000,2020
Forbidden Foods,Delhi,Agriculture and Food Production,1000000,2020
Universal Sportsbiz,Karnataka,Fashion and Beauty,530000,2020
Gobbly,Haryana,Information Technology (IT),500000,2020
Aerostrovilos,Tamil Nadu,Manufacturing,0,2020
Mitron,Karnataka,Media and Entertainment,267000,2020
Bulk MRO,Maharashtra,E-Commerce and Retail,3344000,2020
Inspektlabs,Delhi,Information Technology (IT),600000,2020
Big Bang Boom Solutions,Tamil Nadu,Defense,1000000,2020
Flinto,Tamil Nadu,Education,7200000,2020
Zetwerk,Karnataka,E-Commerce and Retail,21000000,2020
ChitMonks,Telangana,Banking and Financial Services,650000,2020
Walrus,Karnataka,Banking and Financial Services,0,2020
Arth Designbuild,Hyderebad,Construction,1100000,2020
goDutch,Maharashtra,Banking and Financial Services,1700000,2020
Rusk Media,Delhi,Media and Entertainment,0,2020
Bold Care,Maharashtra,Healthcare and Fitness,0,2020
Samosa Party,Karnataka,Agriculture and Food Production,0,2020
High Street Essentials,Delhi,E-Commerce and Retail,2743000,2020
Byju's,Karnataka,Education,0,2020
Slice,Karnataka,Banking and Financial Services,6082000,2020
Bombay Play,Karnataka,Media and Entertainment,1500000,2020
Fullife,Maharashtra,Healthcare and Fitness,6609000,2020
Oziva,N/A,Agriculture and Food Production,5000000,2020
Aye Finance,Haryana,Banking and Financial Services,27700000,2020
Aether Biomedical,Delhi,Healthcare and Fitness,0,2020
91springboard,Delhi,"Career, Special Duties and Personal Development",5940000,2020
Yulu,N/A,Manufacturing,3964000,2020
Milkbasket,Haryana,Transportation and Tourism,5500000,2020
MergerDomo,Uttar Pradesh,E-Commerce and Retail,197000,2020
GoMechanic,Delhi,Manufacturing,0,2020
Milk Mantra,Odisha,Agriculture and Food Production,10000000,2020
Myglamm,Maharashtra,Fashion and Beauty,4327000,2020
Drishti Technologies,Karnataka,Information Technology (IT),25000000,2020
Instasolv,Uttar Pradesh,Education,2000000,2020
GoldenPi,Karnataka,Banking and Financial Services,459000,2020
Peppermint,N/A,Information Technology (IT),0,2020
Sarva,Maharashtra,Healthcare and Fitness,0,2020
Jai Kisan,Maharashtra,Banking and Financial Services,3937000,2020
Agro2o,Delhi,Information Technology (IT),0,2020
LetsTransport,Karnataka,Information Technology (IT),1313500,2020
GabbarDeals,Maharashtra,E-Commerce and Retail,0,2020
Crimson Healthcare,Delhi,Healthcare and Fitness,229800,2020
Biomoneta,Karnataka,Education,0,2020
Edvizo,Karnataka,Education,150000,2020
Servify,Maharashtra,Information Technology (IT),11370000,2020
Drum Food,Maharashtra,Agriculture and Food Production,5305000,2020
Innoviti,Karnataka,Information Technology (IT),0,2020
Jiffy ai,N/A,Information Technology (IT),18000000,2020
Postman,N/A,Information Technology (IT),150000000,2020
F5,N/A,E-Commerce and Retail,0,2020
Waycool,Tamil Nadu,Information Technology (IT),5500000,2020
Myelin Foundry,N/A,Information Technology (IT),0,2020
Ameliorate Biotech,Karnataka,Information Technology (IT),264000,2020
Hapramp,Haryana,Blockchain,1000000,2020
MyKaam,Karnataka,"Career, Special Duties and Personal Development",0,2020
HealthPlix,Karnataka,Healthcare and Fitness,6000000,2020
YoloBus,Haryana,Transportation and Tourism,3300000,2020
iNurture Education,N/A,Education,4000000,2020
Pocket52,Karnataka,Media and Entertainment,1750000,2020
QuaQua,Telangana,Transportation and Tourism,1000000,2020
Crofarm,Delhi,Information Technology (IT),1000000,2020
Timios,Karnataka,Agriculture and Food Production,0,2020
Wooden Street,Rajasthan,E-Commerce and Retail,3000000,2020
BankBazaar,Tamil Nadu,Banking and Financial Services,5967000,2020
Rentmojo,Karnataka,E-Commerce and Retail,2980000,2020
Credgencies,N/A,Information Technology (IT),0,2020
Knorish,Delhi,Information Technology (IT),323000,2020
LetsTransport,Karnataka,Information Technology (IT),1326000,2020
Vahak,N/A,Transportation and Tourism,0,2020
Nutrova,Maharashtra,Agriculture and Food Production,0,2020
Cube Wealth,Maharashtra,Information Technology (IT),500000,2020
IVF Access,Karnataka,Healthcare and Fitness,5000000,2020
Hoi Foods,Delhi,Agriculture and Food Production,2000000,2020
Ola Financial Services,Karnataka,Banking and Financial Services,27000000,2020
Awifs,Delhi,"Career, Special Duties and Personal Development",5200000,2020
Dunzo,Karnataka,Transportation and Tourism,55000000,2020
Swiflearn,Haryana,Education,0,2020
Remedo,Delhi,Healthcare and Fitness,0,2020
Blowhorn,Karnataka,Transportation and Tourism,0,2020
Toch,Maharashtra,Information Technology (IT),1000000,2020
Gram Cover,Uttar Pradesh,Banking and Financial Services,0,2020
Coin DCX,Maharashtra,Blockchain,2500000,2020
HomeCapital,Maharashtra,Banking and Financial Services,0,2020
Euler Motors,Delhi,Manufacturing,2530000,2020
Riskcovry,Maharashtra,Banking and Financial Services,0,2020
NWNT (No Worry No Tension Healthcare),Delhi,Healthcare and Fitness,0,2020
Voicezen,Haryana,Information Technology (IT),0,2020
Leap Club,Haryana,N/A,340000,2020
Credit Mantri,Tamil Nadu,Banking and Financial Services,792000,2020
Xtracap,Haryana,Banking and Financial Services,1000000,2020
Tring,Maharashtra,Media and Entertainment,0,2020
Vakilsearch,Tamil Nadu,"Career, Special Duties and Personal Development",0,2020
Khatabook,Karnataka,Banking and Financial Services,60000000,2020
LendingKart,Gujarat,Banking and Financial Services,11363000,2020
Illumnus,N/A,Education,100000,2020
LetsTransport,Karnataka,Information Technology (IT),1715000,2020
Eggoz,Bihar,Information Technology (IT),329000,2020
Winuall,Karnataka,Education,0,2020
Indian School Finance Company,Telangana,Banking and Financial Services,5271000,2020
Juicy Chemistry,N/A,N/A,650000,2020
DeepTek,Maharashtra,Healthcare and Fitness,0,2020
Stepathlon Lifestyle,Maharashtra,Healthcare and Fitness,0,2020
Sindhuja Microcredit,Uttar Pradesh,Banking and Financial Services,8700000,2020
Rentmojo,Karnataka,E-Commerce and Retail,3226000,2020
Tesco Charge Zone,Gujarat,Manufacturing,0,2020
Intello Labs,Haryana,Transportation and Tourism,5900000,2020
SirionLabs,Haryana,Information Technology (IT),44000000,2020
Magicpin,Haryana,N/A,3879000,2020
GroCurv,Haryana,E-Commerce and Retail,0,2020
Refrens,Karnataka,Information Technology (IT),1000000,2020
Shiprocket,N/A,Information Technology (IT),13000000,2020
Spyne,Haryana,Information Technology (IT),0,2020
Nykaa,Maharashtra,E-Commerce and Retail,8800000,2020
Docsapp,Karnataka,Healthcare and Fitness,9500000,2020
Phable,N/A,Healthcare and Fitness,1000000,2020
Generic Aadhaar,N/A,Healthcare and Fitness,0,2020
Nium,N/A,Banking and Financial Services,0,2020
Mintoak,Maharashtra,Banking and Financial Services,2000000,2020
VestSpace,Maharashtra,Information Technology (IT),10000000,2020
Blackbuck,Karnataka,Transportation and Tourism,0,2020
Vernacular ai,Karnataka,Information Technology (IT),5100000,2020
Clover,Karnataka,Information Technology (IT),920000,2020
Varthana,Karnataka,Banking and Financial Services,15000000,2020
Codeninja,Karnataka,Information Technology (IT),0,2020
MetaMerphoSys,Maharashtra,Banking and Financial Services,0,2020
Rooter,Delhi,Media and Entertainment,1700000,2020
Aker Foods,Maharashtra,Agriculture and Food Production,0,2020
Sascan Meditech pvt ltd,Kerala,Healthcare and Fitness,0,2020
DailyHunt,N/A,Media and Entertainment,35600000,2020
Pratilipi,Karnataka,Media and Entertainment,9400000,2020
Biryani By Kilo,Delhi,Agriculture and Food Production,790000,2020
Consure Medical,Delhi,Healthcare and Fitness,480000,2020
Servify,Maharashtra,N/A,250000,2020
Tessol,Maharashtra,Transportation and Tourism,160000,2020
Remedo,Uttar Pradesh,Healthcare and Fitness,0,2020
News Reach,Gujarat,Media and Entertainment,0,2020
RoomSoom,Uttar Pradesh,Real Estate,0,2020
Pedagogy,N/A,Education,400000,2020
Classplus,Delhi,Education,8200000,2020
Medlife,Karnataka,Healthcare and Fitness,15500000,2020
Qin1,Uttar Pradesh,Education,0,2020
MYSUN,Delhi,Information Technology (IT),4257000,2020
ShopX,Karnataka,E-Commerce and Retail,1410000,2020
Sarva,N/A,Healthcare and Fitness,0,2020
Expertrons,Maharashtra,Information Technology (IT),0,2020
NewsBytes,Haryana,Media and Entertainment,1500000,2020
Wagonfly,Karnataka,N/A,500000,2020
NIRA,N/A,Banking and Financial Services,2100000,2020
Convosight,Telangana,Information Technology (IT),4000000,2020
Fittr,Maharashtra,Healthcare and Fitness,2000000,2020
AsknBid,Karnataka,Banking and Financial Services,0,2020
Bira91,Karnataka,Agriculture and Food Production,20000000,2020
Finaureus Technologies,Maharashtra,Banking and Financial Services,0,2020
Daily Ninja,Haryana,E-Commerce and Retail,349800,2020
Guvi Geek Network Pvt Ltd,Tamil Nadu,Education,786000,2020
LoadShare,Karnataka,Transportation and Tourism,2004000,2020
Vedantu,Karnataka,Education,6800000,2020
Indusface,N/A,Information Technology (IT),5000000,2020
DMI Group,Delhi,Banking and Financial Services,123000000,2020
Spintly,Goa,Information Technology (IT),248000,2020
Credr,Maharashtra,Manufacturing,0,2020
Bijak,Haryana,Information Technology (IT),12000000,2020
Bugworks,Karnataka,Healthcare and Fitness,7500000,2020
DrinkPrime,Karnataka,N/A,0,2020
Yap,Tamil Nadu,Banking and Financial Services,4500000,2020
UzhavarBumi,Tamil Nadu,Agriculture and Food Production,0,2020
Tattva,Delhi,Fashion and Beauty,150000,2020
Pariksha,Maharashtra,Education,0,2020
DailyHunt,N/A,Media and Entertainment,24000000,2020
NoBroker,Karnataka,Real Estate,30000000,2020
Box8,Maharashtra,Agriculture and Food Production,4000000,2020
Capital Float,Karnataka,Banking and Financial Services,15000000,2020
ITILITE,Karnataka,Transportation and Tourism,13000000,2020
Morning Context,N/A,Media and Entertainment,0,2020
Aavenir,Gujarat,Information Technology (IT),2000000,2020
Savvy Co op,N/A,Healthcare and Fitness,0,2020
BLive,N/A,Transportation and Tourism,0,2020
Yellow Messenger,Karnataka,Information Technology (IT),20000000,2020
Toch,N/A,Healthcare and Fitness,400000,2020
Ewar,Karnataka,Media and Entertainment,200000,2020
Setu,N/A,Banking and Financial Services,14259000,2020
Wellthy Therapeutics,Karnataka,Healthcare and Fitness,4000000,2020
Power Gummies,Delhi,Healthcare and Fitness,0,2020
Locale ai,Karnataka,Information Technology (IT),0,2020
FarEye,Delhi,Transportation and Tourism,24500000,2020
Rebel Foods,N/A,Agriculture and Food Production,50000000,2020
BankBazaar,Tamil Nadu,Banking and Financial Services,3800000,2020
Porter,Maharashtra,Transportation and Tourism,18370000,2020
SugarBox,Maharashtra,Information Technology (IT),68525000,2020
Capital Float,Karnataka,Banking and Financial Services,4800000,2020
Big Basket,Karnataka,E-Commerce and Retail,60000000,2020
Amica,N/A,Banking and Financial Services,2000000,2020
Vedantu,Karnataka,Education,12500000,2020
Fingerlix,N/A,Agriculture and Food Production,1834000,2020
Plop,Maharashtra,Information Technology (IT),0,2020
Zupee,N/A,Media and Entertainment,8000000,2020
DeHaat,N/A,Information Technology (IT),12000000,2020
Lido Learning,Maharashtra,Education,7500000,2020
Aye Finance,Haryana,Banking and Financial Services,23850000,2020
Swiggy,Karnataka,Agriculture and Food Production,43000000,2020
Akna Medical,N/A,Healthcare and Fitness,7000000,2020
Zomato,Haryana,Agriculture and Food Production,5000000,2020
RaRa Delivery,N/A,Transportation and Tourism,800000,2020
JusPay,Karnataka,Banking and Financial Services,21600000,2020
Obviously AI,N/A,Information Technology (IT),0,2020
Fingpay,Maharashtra,Banking and Financial Services,3500000,2020
Recko,Karnataka,Information Technology (IT),6000000,2020
Furlenco,Karnataka,E-Commerce and Retail,10000000,2020
Mera Cashier,Uttar Pradesh,Banking and Financial Services,150000,2020
Kitchens Centre,Delhi,N/A,500000,2020
Camp K12,Haryana,Education,4000000,2020
MedGenome,Karnataka,Healthcare and Fitness,55000000,2020
Ergos,Karnataka,Information Technology (IT),4598000,2020
Nykaa,Maharashtra,E-Commerce and Retail,13137000,2020
Samadhan,Delhi,Banking and Financial Services,0,2020
SaScan,Karnataka,Healthcare and Fitness,0,2020
Lido Learning,Maharashtra,Education,3000000,2020
CureFit,Karnataka,Healthcare and Fitness,115000000,2020
Nimesa,Karnataka,Information Technology (IT),0,2020
Design X,Uttar Pradesh,Information Technology (IT),200000,2020
Driftly Electric,Karnataka,Manufacturing,0,2020
Imstrong,Karnataka,Healthcare and Fitness,400000,2020
Craftsvilla,Maharashtra,E-Commerce and Retail,3900000,2020
Rupifi,Karnataka,Banking and Financial Services,0,2020
SnackAmor,Maharashtra,Agriculture and Food Production,0,2020
Zealthy,Karnataka,Healthcare and Fitness,0,2020
CoinDCX,N/A,Banking and Financial Services,3000000,2020
NuNu TV,N/A,Media and Entertainment,670000,2020
QTalk,Karnataka,Information Technology (IT),1600000,2020
Shadez,Maharashtra,"Career, Special Duties and Personal Development",100000,2020
Excess2Sell,Maharashtra,E-Commerce and Retail,1000000,2020
Stanplus,Telangana,Healthcare and Fitness,1500000,2020
Pitstop,Karnataka,Manufacturing,2500000,2020
Univariety,Telangana,Education,1100000,2020
Peel Works,Maharashtra,Information Technology (IT),4223000,2020
CoreStack,Tamil Nadu,Information Technology (IT),8500000,2020
Vivriti Capital,Tamil Nadu,Banking and Financial Services,50000000,2020
Agnikul,Tamil Nadu,Information Technology (IT),3148000,2020
Fintso,N/A,Banking and Financial Services,2600000,2020
Khatabook,Karnataka,Banking and Financial Services,0,2020
Smart Coin,N/A,Banking and Financial Services,7000000,2020
ZunRoof,Haryana,Information Technology (IT),3000000,2020
Shop101,N/A,E-Commerce and Retail,3900000,2020
OM Bhakti,Karnataka,Manufacturing,0,2020
Lal10,Uttar Pradesh,E-Commerce and Retail,1100000,2020
Anaxee Digital Runner,Madhya Pradesh,Information Technology (IT),0,2020
CollegeKhabri,Madhya Pradesh,Education,0,2020
Ola Electric,Karnataka,Transportation and Tourism,1000000,2020
Multi Living,Maharashtra,Real Estate,6000000,2020
FamPay,Karnataka,Banking and Financial Services,4700000,2020
UnboxRobotics Labs,Karnataka,Manufacturing,500000,2020
Karbon Card,Karnataka,Banking and Financial Services,2000000,2020
